id,gradeId,abacusFees,termFees,term,startDate,dueDate,academicYear
1,1,0,0,TERM_1,01-06-2024,20-06-2024,Y2024_2025
2,1,0,0,TERM_2,14-08-2024,20-09-2024,Y2024_2025
3,1,0,5250,TERM_3,01-11-2024,05-12-2024,Y2024_2025
4,1,0,5250,TERM_4,20-01-2025,28-02-2025,Y2024_2025
5,2,0,6050,TERM_1,01-06-2024,20-06-2024,Y2024_2025
6,2,0,6050,TERM_2,14-08-2024,20-09-2024,Y2024_2025
7,2,0,6050,TERM_3,01-11-2024,05-12-2024,Y2024_2025
8,2,0,6050,TERM_4,20-01-2025,28-02-2025,Y2024_2025
9,3,0,6050,TERM_1,01-06-2024,20-06-2024,Y2024_2025
10,3,0,6050,TERM_2,14-08-2024,20-09-2024,Y2024_2025
11,3,0,6050,TERM_3,01-11-2024,05-12-2024,Y2024_2025
12,3,0,6050,TERM_4,20-01-2025,28-02-2025,Y2024_2025
13,4,0,7150,TERM_1,01-06-2024,20-06-2024,Y2024_2025
14,4,400,7150,TERM_2,14-08-2024,20-09-2024,Y2024_2025
15,4,0,7150,TERM_3,01-11-2024,05-12-2024,Y2024_2025
16,4,0,7150,TERM_4,20-01-2025,28-02-2025,Y2024_2025
17,5,0,7150,TERM_1,01-06-2024,20-06-2024,Y2024_2025
18,5,400,7150,TERM_2,14-08-2024,20-09-2024,Y2024_2025
19,5,0,7150,TERM_3,01-11-2024,05-12-2024,Y2024_2025
20,5,0,7150,TERM_4,20-01-2025,28-02-2025,Y2024_2025
21,6,0,7425,TERM_1,01-06-2024,20-06-2024,Y2024_2025
22,6,400,7425,TERM_2,14-08-2024,20-09-2024,Y2024_2025
23,6,0,7425,TERM_3,01-11-2024,05-12-2024,Y2024_2025
24,6,0,7425,TERM_4,20-01-2025,28-02-2025,Y2024_2025
25,7,0,7425,TERM_1,01-06-2024,20-06-2024,Y2024_2025
26,7,400,7425,TERM_2,14-08-2024,20-09-2024,Y2024_2025
27,7,0,7425,TERM_3,01-11-2024,05-12-2024,Y2024_2025
28,7,0,7425,TERM_4,20-01-2025,28-02-2025,Y2024_2025
29,8,0,7700,TERM_1,01-06-2024,20-06-2024,Y2024_2025
30,8,400,7700,TERM_2,14-08-2024,20-09-2024,Y2024_2025
31,8,0,7700,TERM_3,01-11-2024,05-12-2024,Y2024_2025
32,8,0,7700,TERM_4,20-01-2025,28-02-2025,Y2024_2025
33,9,0,7700,TERM_1,01-06-2024,20-06-2024,Y2024_2025
34,9,400,7700,TERM_2,14-08-2024,20-09-2024,Y2024_2025
35,9,0,7700,TERM_3,01-11-2024,05-12-2024,Y2024_2025
36,9,0,7700,TERM_4,20-01-2025,28-02-2025,Y2024_2025
37,10,0,7975,TERM_1,01-06-2024,20-06-2024,Y2024_2025
38,10,400,7975,TERM_2,14-08-2024,20-09-2024,Y2024_2025
39,10,0,7975,TERM_3,01-11-2024,05-12-2024,Y2024_2025
40,10,0,7975,TERM_4,20-01-2025,28-02-2025,Y2024_2025
41,11,0,9900,TERM_1,01-06-2024,20-06-2024,Y2024_2025
42,11,400,9900,TERM_2,14-08-2024,20-09-2024,Y2024_2025
43,11,0,9900,TERM_3,01-11-2024,05-12-2024,Y2024_2025
44,11,0,9900,TERM_4,20-01-2025,28-02-2025,Y2024_2025
45,12,0,10450,TERM_1,01-06-2024,20-06-2024,Y2024_2025
46,12,400,10450,TERM_2,14-08-2024,20-09-2024,Y2024_2025
47,12,0,10450,TERM_3,01-11-2024,05-12-2024,Y2024_2025
48,12,0,10450,TERM_4,20-01-2025,28-02-2025,Y2024_2025
49,13,0,10450,TERM_1,01-06-2024,20-06-2024,Y2024_2025
50,13,0,10450,TERM_2,14-08-2024,30-08-2024,Y2024_2025
51,13,0,10450,TERM_3,28-10-2024,11-11-2024,Y2024_2025
52,13,0,10450,TERM_4,27-12-2024,15-01-2025,Y2024_2025
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
