name,gradeIds
BIOLOGY,"9,10,11,12,13"
CHEMISTRY,"11,12,13"
COMPUTER,"4,5,6,7,8,9,10,11,12,13"
ENGLISH I,"4,5,6,7,8,9,10,11,12,13"
ENGLISH II,"4,5,6,7,8,9,10,11,12,13"
ENGLISH READING (ORAL),3
ENGLISH WRITTEN (WRITTEN),3
EVS,"1,2"
EVS (WRITTEN),3
GENERAL SCIENCE,"6,8"
GEOGRAPHY,"9,10,11,12,13"
HISTORY & CIVICS,"9,10,11,12,13"
II LANGUAGE (TELUGU/HINDI),"5,6,7,8,9,10,12,13"
III LANGUAGE (TELUGU/HINDI),"6,7"
MATHS,"4,5,6,7,8,9,10,11,13"
NUMBER WORK (ORAL),3
NUMBER WORK (WRITTEN),3
PHYSICS,"11,12,13"
READING / RECITATION,"4,5"
RHYMES (ORAL),3
SOCIAL,"6,7,8"
SPELLINGS & HANDWRITING (WRITTEN),"3,4,5"
TELUGU/HINDI (WRITTEN),"3,4"
